time,camera_id,latitude,longitude,camera,car_count,bus_count,truck_count,motorcycle_count,total_count
2025-12-17 00:35:30,6623f1f16f998a001b25281f,10.865064709737,106.759042739868,Phạm Văn Đồng - Đào Trinh Nhất,0,5,0,1,6
2025-12-17 00:35:30,58ad6961bd82540010390be5,10.7990461956223,106.680378913879,Nút giao Phú Nhuận 1 (Phan Đình Phùng),0,0,0,0,0
2025-12-17 00:35:30,5a8257e25058170011f6eacd,10.8700853140978,106.814097762108,Hoàng Hữu Nam - Đường D400,0,0,0,0,0
2025-12-17 00:35:30,5a606dbc8576340017d0662b,10.7978184191454,106.721127033234,Điện Biên Phủ - Nguyễn Hữu Cảnh,0,1,0,0,1
2025-12-17 00:35:31,662b52a31afb9c00172d8b01,10.846467192202,106.670604944229,Lê Đức Thọ - Hẻm 688,0,5,0,3,8
2025-12-17 00:35:31,58abbee5bd82540010390ba2,10.7991621227557,106.729398965836,Cầu Sài Gòn 5 (dạ cầu Thủ Đức),0,5,0,1,6
2025-12-17 00:35:31,662a8ef41afb9c00172d2af2,10.7449876687987,106.704325675964,Lê Văn Lương - Đường số 15,0,0,0,2,2
2025-12-17 00:35:31,6623f5b56f998a001b25292f,10.8022710610062,106.746608018875,Võ Nguyên Giáp - quay đầu An Phú (2),3,0,2,0,5
2025-12-17 00:35:31,66b1c398779f7400186740e3,10.7601975506409,106.653256416321,Ba Tháng Hai - Tạ Uyên,0,2,0,0,2
2025-12-17 00:35:31,58d7b756c1e33c00112b320d,10.6860698233787,106.57566010952,Nút giao Chợ Đệm 2 (CT Trung Lương - Bùi Thanh Khiết),0,0,0,1,1
2025-12-17 00:35:31,6623e31e6f998a001b252250,10.7816671586319,106.681677103043,Kỳ Đồng - Bà Huyện Thanh Quan,0,3,0,3,6
2025-12-17 00:35:32,5deb576d1dc17d7c5515acfe,10.7825155824841,106.683688759804,Lý Chính Thắng - Trương Định,0,0,0,0,0
2025-12-17 00:35:32,6792f3cf8c5ed4001b27f61e,10.9771309811361,106.643643379211,Tỉnh Lộ 8 - Cầu Phú Cường,0,1,0,1,2
2025-12-17 00:35:32,58df4e22dc195800111e04bb,10.8141637700114,106.668593287468,Yên Thế - Bạch Đằng,1,1,0,1,3
2025-12-17 00:35:33,5d8cdc57766c88001718896e,10.7904463853615,106.652473211288,Lý Thường Kiệt - Lạc Long Quân,0,0,0,1,1
2025-12-17 00:35:34,58e49e3dd9d6200011e0b9d1,10.7886020312638,106.6847884655,Nam Kỳ Khởi Nghĩa - Lý Chính Thắng,0,0,0,4,4
2025-12-17 00:35:34,66f1266f538c780017c93579,10.760766720521,106.67405962944,Hùng Vương - Nguyễn Chí Thanh,2,0,0,2,4
2025-12-17 00:35:34,5ad0679598d8fc001102e274,10.8452343413582,106.786707043648,Lê Văn Việt - Man Thiện,0,0,0,0,0
2025-12-17 00:35:34,6623f0576f998a001b2527ac,10.7859250629045,106.641583442688,Âu Cơ - Thoại Ngọc Hầu,0,0,0,0,0
2025-12-17 00:35:34,56de42f611f398ec0c481288,10.7637917349984,106.697652339935,Võ Văn Kiệt - Cầu Ông Lãnh 1,0,0,0,0,0
2025-12-17 00:35:35,5a824f975058170011f6eab8,10.8310719980749,106.676913499832,Nguyễn Oanh - Phan Văn Trị (2),1,0,0,5,6
2025-12-17 00:35:35,5d8cd614766c88001718894a,10.8081937627675,106.69519007206,Lê Quang Định - Nơ Trang Long,0,0,0,3,3
2025-12-17 00:35:35,62da3e840637a10017d7073d,10.8451078948305,106.71789765358,Quốc Lộ 13 - Đinh Thị Thi 3,0,1,0,0,1
2025-12-17 00:35:35,5a824c3e5058170011f6eaae,10.7738836803625,106.621649265289,Nút giao Bốn Xã 1 (Bình Long),0,0,0,0,0
2025-12-17 00:35:35,5deb576d1dc17d7c5515acf9,10.777768,106.68202,Nút giao Công Trường Dân Chủ,2,0,0,2,4
2025-12-17 00:35:36,587470c2b807da0011e33ce4,10.7892027649838,106.715097427368,Nguyễn Hữu Cảnh - Ngô Tất Tố (Cầu Thủ Thiêm 1),0,0,0,0,0
2025-12-17 00:35:36,68188cbf6dfb4b0018f900e9,10.7939137404315,106.576459407806,Võ Văn Vân - Liên Ấp 123,0,2,0,1,3
2025-12-17 00:35:36,67e217ea3215f90017863bf1,10.7660631109292,106.779545545578,Nguyễn Thị Định - Đường C (20-2),0,0,0,2,2
2025-12-17 00:35:36,584e734a61cfea0012cf694f,10.8162345391232,106.60130739212,Quốc lộ 1 - Lê Trọng Tấn,0,3,0,1,4
2025-12-17 00:35:36,68ede6d0230ee50017d04d4c,10.9846089851621,106.66610956192,Đại lộ Bình Dương - ngã tư chợ Đình (1),0,0,0,0,0
2025-12-17 00:35:36,662b7f251afb9c00172dc8bc,10.7767873576075,106.697995662689,Nam Kỳ Khởi Nghĩa - Nguyễn Du,0,0,0,0,0
2025-12-17 00:35:36,6623ec826f998a001b252686,10.8419361769392,106.676613092422,Nguyễn Oanh - Lê Đức Thọ,1,1,0,4,6
2025-12-17 00:35:36,5deb576d1dc17d7c5515ad23,10.763649,106.659903,Ba Tháng Hai - Lý Thường Kiệt,0,0,0,0,0
2025-12-17 00:35:37,6818863c6dfb4b0018f8f235,10.7650143803183,106.498975753784,Trần Đại Nghĩa - Mai Bá Hương,0,0,0,0,0
2025-12-17 00:35:37,589ad89eb3bf7600110283ac,10.8486167661312,106.633611917496,Tô Ký (Tỉnh lộ 15) - Hẻm 146,0,1,0,1,2
2025-12-17 00:35:37,662b5adc1afb9c00172d925b,10.8235795946401,106.629202365875,Trường Chinh - Phan Huy Ích 1,0,2,0,2,4
2025-12-17 00:35:37,5701e22bc4350a1100e26f6c,10.7671171078657,106.699680089951,Nguyễn Công Trứ - Calmette 1,2,0,0,3,5
2025-12-17 00:35:37,5b87c386ca057700116404a6,10.7710432140034,106.715902090073,Đường hầm (Đầu hầm Tp Thủ Đức),0,3,0,0,3
2025-12-17 00:35:37,5d8cd542766c880017188948,10.8511456568495,106.757980585098,Võ Văn Ngân - Đặng Văn Bi,0,2,0,0,2
2025-12-17 00:35:37,6623e8406f998a001b252465,10.8031773894881,106.692352294922,Phan Đăng Lưu - Hoàng Hoa Thám,0,0,0,2,2
2025-12-17 00:35:38,68188a816dfb4b0018f8f769,10.702737493872,106.570858955383,Võ Trần Chí - Thế Lữ 1,0,0,0,0,0
2025-12-17 00:35:38,5a823d555058170011f6eaa2,10.7791113331904,106.702115535736,Lý Tự Trọng - Hai Bà Trưng 1,0,0,0,0,0
2025-12-17 00:35:38,595da2853dcfc400106f2883,10.8601019727034,106.698827147484,Quốc lộ 1 - Đường 15 (1),0,0,0,0,0
2025-12-17 00:35:38,587c8183b807da0011e33d3f,10.8013067666529,106.662268638611,Hoàng Văn Thụ - Trần Quốc Hoàn,1,1,0,1,3
2025-12-17 00:35:38,5deb576d1dc17d7c5515ad06,10.788566,106.699558,Đinh Tiên Hoàng - Nguyễn Đình Chiểu,0,0,0,0,0
2025-12-17 00:35:38,662b54711afb9c00172d8d4f,10.8160870038835,106.680099964142,90 Nguyễn Thái Sơn,0,0,0,1,1
2025-12-17 00:35:39,5a8279865058170011f6eaef,10.7275738904052,106.677889823914,Nguyễn Văn Linh - Phạm Hùng 2,0,1,0,1,2
2025-12-17 00:35:39,662b4faa1afb9c00172d875e,10.7497256871815,106.649479866028,Tháp Mười - Phạm Đình Hổ,0,1,0,3,4
2025-12-17 00:35:39,662a87641afb9c00172d24b0,10.7492250102216,106.580879688263,Võ Trần Chí - Trần Văn Giàu 2,1,0,0,0,1
2025-12-17 00:35:39,56de42f611f398ec0c4812a1,10.769926,106.7747069,Nút giao Mỹ Thủy 1,0,0,0,0,0
2025-12-17 00:35:39,63ae7669bfd3d90017e8f0d9,10.7528720275909,106.702179908752,Khánh Hội - Cầu Kênh Tẻ,0,0,0,3,3
2025-12-17 00:35:39,662a8fd41afb9c00172d2bac,10.7045402040992,106.732370853424,Nguyễn Lương Bằng - Phạm Hữu Lầu,0,0,0,0,0
2025-12-17 00:35:39,63b65e6abfd3d90017eaa361,10.7903304548658,106.754236221313,Nguyễn Thị Định - Thân Văn Nhiếp,0,1,0,0,1
2025-12-17 00:35:39,56f11afc3ac17b11001c504e,10.8048741133609,106.664215922356,Trường Sơn - Phan Đình Giót,0,1,0,0,1
